pitch_id,pitch_type,pitcher_handedness,ball_path_file,status,num_points,first_frame,last_frame,duration_frames,tracked_fraction,anchor_count,avg_speed_px_per_frame,max_speed_px_per_frame,speed_std,path_length_px,direct_distance_px,straightness_ratio,max_perpendicular_deviation_px,mean_abs_perpendicular_deviation_px,max_signed_perpendicular_deviation_px,min_signed_perpendicular_deviation_px,quadratic_curvature_y_of_x,net_dx_px,net_dy_px,avg_vx_px_per_frame,avg_vy_px_per_frame,abs_net_dx_px,abs_net_dy_px,abs_avg_vx_px_per_frame,abs_avg_vy_px_per_frame,video_angle_id,notes
pitch015,changeup,LHP,ball_path015 changeup LHP.csv,ok,87,24,110,86,0.9560439560439561,11,6.775277732461111,28.42499584872438,4.583082683148393,582.6738849916555,239.2731007447348,0.4106466874659423,117.04596736044209,63.367819824632754,21.62030947857744,-117.04596736044206,-0.008982423710799508,133.28600000000006,198.712,1.5498372093023263,2.3106046511627905,133.28600000000006,198.712,1.5498372093023263,2.3106046511627905,,
pitch016,curveball,LHP,ball_path016 curveball LHP.csv,ok,87,24,110,86,0.9560439560439561,11,7.839577981398585,32.637064727086056,5.800675211626657,674.2037064002783,465.3850597451535,0.6902736596183171,71.94857939001275,40.198743204380214,0.0,-71.94857939001272,0.0012516339127096518,453.6970000000001,103.64499999999998,5.275546511627908,1.205174418604651,453.6970000000001,103.64499999999998,5.275546511627908,1.205174418604651,,
pitch017,fastball,LHP,ball_path017 fastball LHP.csv,ok,87,24,110,86,0.9560439560439561,11,6.851090365123577,27.57415313296128,5.228824381594966,589.1937714006276,222.1626244353446,0.37706207230809835,44.57748131653983,14.771389297224653,44.57748131653987,-12.116873388770188,0.0014448404855248614,220.46399999999994,-27.420000000000073,2.5635348837209295,-0.31883720930232645,220.46399999999994,27.420000000000073,2.5635348837209295,0.31883720930232645,,
pitch018,fastball,LHP,ball_path018 fastball LHP.csv,ok,87,24,110,86,0.9560439560439561,11,8.084281393051477,46.15870887492411,6.650388542403995,695.2481998024269,288.2467113515782,0.4145954084217566,61.44763400750954,26.671178094650156,17.13372648673932,-61.44763400750942,0.002540622292395531,236.5630000000001,164.69399999999996,2.750732558139536,1.9150465116279065,236.5630000000001,164.69399999999996,2.750732558139536,1.9150465116279065,,
pitch019,fastball,LHP,ball_path019 fastball LHP.csv,ok,87,24,110,86,0.9560439560439561,11,6.492420155155772,38.572464647725084,5.446446873013177,558.3481333433964,274.5631861867137,0.4917419254948083,32.1871774171144,10.403412513158727,21.46135818074634,-32.18717741711444,0.0012265736486281222,267.96000000000004,59.853000000000065,3.1158139534883724,0.6959651162790705,267.96000000000004,59.853000000000065,3.1158139534883724,0.6959651162790705,,
pitch020,curveball,RHP,ball_path020 curveball RHP.csv,ok,97,24,120,96,0.9603960396039604,13,10.698778921415247,32.86792577878923,7.042074609760307,1027.0827764558637,743.4926288545169,0.7238877390389834,107.87752348207147,55.02767385395064,107.87752348207135,-42.000428040706794,0.001382572540283916,-609.9200000000003,425.18100000000004,-6.353333333333336,4.42896875,609.9200000000003,425.18100000000004,6.353333333333336,4.42896875,,
pitch021,curveball,RHP,ball_path021 curveball rhp.csv,ok,97,24,120,96,0.9603960396039604,13,13.121955315685016,42.98117067972899,8.065459745849338,1259.7077103057616,882.2089266182926,0.700328274091582,159.62967940805228,95.1364701679888,159.62967940805237,-2.4280077987998405,0.0015196387939893701,-715.594,515.963,-7.454104166666667,5.374614583333333,715.594,515.963,7.454104166666667,5.374614583333333,,
pitch022,curveball,LHP,ball_path022 curveball LHP.csv,ok,92,24,115,91,0.9583333333333334,13,6.180110511899104,23.660037806394126,4.69762719567074,562.3900565828185,422.2962229075699,0.7508956069983109,73.16905205368847,42.88778978328934,0.0,-73.16905205368846,0.0014687508174203606,401.539,130.769,4.412516483516483,1.4370219780219782,401.539,130.769,4.412516483516483,1.4370219780219782,,
pitch023,curveball,LHP,ball_path023 curveball LHP.csv,ok,97,24,120,96,0.9603960396039604,13,5.477692040376525,29.05137497606624,5.403846904671619,525.8584358761464,358.2183076784323,0.6812067340549468,68.7109311958874,39.535075621441266,0.0,-68.71093119588741,0.002077988097025886,352.47,63.91599999999994,3.6715625000000003,0.665791666666666,352.47,63.91599999999994,3.6715625000000003,0.665791666666666,,
pitch024,curveball,LHP,ball_path024 curveball LHP.csv,ok,92,24,115,91,0.9583333333333334,13,5.220383069548863,20.8974981516927,4.777735508082215,475.0548593289465,288.67818572244073,0.6076733666722661,48.63811643010666,28.367125982481294,1.991434713230311,-48.63811643010659,0.0026210842307566834,264.616,115.38400000000001,2.9078681318681316,1.2679560439560442,264.616,115.38400000000001,2.9078681318681316,1.2679560439560442,,
pitch025,curveball,LHP,ball_path025 curveball lhp.csv,ok,87,24,110,86,0.9560439560439561,12,4.765622711629353,18.013009576414472,3.4213740671858432,409.84355320012435,267.2187460209332,0.6520018283426597,47.66724664968744,27.964379457924014,1.4606131785732157,-47.667246649687435,0.0023679806539115473,250.769,92.30799999999999,2.915918604651163,1.0733488372093023,250.769,92.30799999999999,2.915918604651163,1.0733488372093023,,
pitch026,changeup,RHP,ball_path026 changeup RHP.csv,ok,87,24,110,86,0.9560439560439561,12,5.891687376599035,24.607040963919317,5.427786115188907,506.685114387517,148.69022402969202,0.29345686266988397,66.56975963680992,22.286944182678923,66.56975963680986,-1.8970825879155597,0.008699946570142836,-70.769,130.769,-0.8228953488372094,1.5205697674418606,70.769,130.769,0.8228953488372094,1.5205697674418606,,
pitch027,changeup,LHP,ball_path027 changeup LHP.csv,ok,87,24,110,86,0.9560439560439561,12,6.045951044359373,21.3161394253274,4.525925556571656,519.9517898149061,369.7756303557605,0.7111729156416488,65.54067775554385,36.70818772913536,0.0,-65.54067775554387,0.0015455798023942958,358.462,90.769,4.168162790697674,1.0554534883720932,358.462,90.769,4.168162790697674,1.0554534883720932,,
pitch028,changeup,LHP,ball_path028 changeup LHP.csv,ok,87,24,110,86,0.9560439560439561,12,2.845445253582957,14.363312292086258,2.616196897064714,244.7082918081343,93.58132874136805,0.38241993375010486,31.25869499835208,14.290051178652563,0.10715894008848766,-30.822198025971687,0.004752986232687777,92.30799999999999,15.384999999999991,1.0733488372093023,0.1788953488372092,92.30799999999999,15.384999999999991,1.0733488372093023,0.1788953488372092,,
pitch029,changeup,RHP,ball_path029 changeup RHP.csv,ok,87,24,110,86,0.9560439560439561,12,4.718330521430073,22.188087186596288,4.493983532000339,405.77642484298633,89.70696542075203,0.22107485779999123,36.73868355017648,17.189172951663537,36.49569587650604,0.0,0.005433075375986308,-83.077,-33.846000000000004,-0.9660116279069767,-0.3935581395348838,83.077,33.846000000000004,0.9660116279069767,0.3935581395348838,,
pitch030,changeup,RHP,ball_path030 changeup RHP.csv,ok,87,24,110,86,0.9560439560439561,12,4.3539558741919615,23.99902268843463,3.7013773255444256,374.44020518050866,132.31693885515944,0.35337268013559764,48.3379409117172,28.45448211009934,48.33794091171723,-11.966614945145034,0.007944078100306964,-132.308,-1.538000000000011,-1.5384651162790697,-0.017883720930232685,132.308,1.538000000000011,1.5384651162790697,0.017883720930232685,,
pitch031,changeup,RHP,ball_path031 changeup RHP.csv,ok,87,24,110,86,0.9560439560439561,12,3.930433908169674,15.603724459243615,3.351983191599544,338.01731610259196,108.23009567583314,0.3201909799289221,56.48067731834184,27.461138241361954,56.48067731834176,-5.679742027034518,0.009436332050007035,-107.69299999999998,-10.769000000000005,-1.2522441860465114,-0.1252209302325582,107.69299999999998,10.769000000000005,1.2522441860465114,0.1252209302325582,,
